"","NAME","Description","Status","Long","Lat","Elev","country","continent","city","pname","citiname","countryname"
"14","Aigio, Greece - Cyclopolis Aigialeias","Suspended 2014 http://aigialeia.cyclopolis.gr/index.php/en/<br>CityBik.es Map (https://citybik.es/map/cyclopolis-aigialeia)<br>45 bicycles in 3 stations<br>Launch: April 12, 2013<br>Source (http://www.silvercity.gr/index.php/podilatonea/188-genika/3417-14)<br>Operator: cyclopolis<br>Equipment: Amco","stopped",22.088013,38.248427,"0","Greece","Europe","Aigio, Greece","Cyclopolis Aigialeias","Aigio","Greece"
"15","Aigle, Switzerland - Publibike","https://www.publibike.ch/en/home.html<br>23 bikes and 4 stations<br>Launched 2010 with 18 bikes in 3 stations as Velopass<br>Operator: PubliBike<br>Third Generation Swipe Card","operation",6.961899,46.314687,"0","Switzerland","Europe","Aigle, Switzerland","Publibike","Aigle","Switzerland"
"16","Aix-en-Provence, France - V'Hello","http://www.vhello.fr/<br><br> <br>Contract terminated May 31,2011 by City Council<br>200 bikes in 16 stations<br>Operator had been JCDecaux CycloCity since 2007","stopped",5.454025,43.527144,"0","France","Europe","Aix-en-Provence, France","V'Hello","Aix-en-Provence","France"
"17","Aksu, Xinjiang, China - Public Bicycle Rental","http://bike.akspub.com/<br>O'Briens Bike Share Map (http://bikes.oobrien.com/aksu/)<br>2,000 bikes in 55 stations<br>Launched: February 6, 2013 with 20 bicycles<br>Planning 500 bikes in 20 stations for 2013 and 1600 bikes in 2014<br>Source (http://news.ts.cn/content/2014-09/15/content_10520972.htm)","operation",80.26577,41.168188,"0","China","Asia","Aksu, Xinjiang, China","Public Bicycle Rental","Aksu","China"
"18","Alba, Italy - Bicincittà","http://www.bicincittabip.com/frmLeStazioni.aspx<br>Video (http://www.youtube.com/watch?v=MI-wNMeux_k)<br>CityBik.es Map (https://citybik.es/map/alba)<br>14 bikes in 9stations.<br>Third Generation Swipe Card<br>Equipment& Operator: Bicincittà","operation",8.035812,44.70185,"0","Italy","Europe","Alba, Italy","Bicincittà","Alba","Italy"
"19","Albacete, Spain - Albabici","www.albabici.es (http://www.albabici.es/)<br>O'Briens Bike Share Map (http://bikes.oobrien.com/albacete/)<br>CityBik.es Map (,https://citybik.es/map/onroll-albacete)<br>120 bikes in 20 stations<br>Launch: June 13, 2014<br>Operator: campos Corporation<br>Replaces Onroll System","operation",-1.857719,38.992238,"0","Spain","Europe","Albacete, Spain","Albabici","Albacete","Spain"
"20","Albacete, Spain - Onroll","http://albacete.onroll.info/<br>System closed for reported upgrade January 2012 to December 2012 - It has not re-opened as of yet.<br>Fleet: 10 stations with 100 bikes<br>System: Onroll<br>Launched: 2009<br><br> <br>SMS message based","stopped",-1.857891,38.993705,"0","Spain","Europe","Albacete, Spain","Onroll","Albacete","Spain"
"21","Albano, Italy - Bikesharing","Pilot Program<br>20 pedelecs bikes in 3 stations<br>Launch June 29, 2013<br>Plans to expand to Ariccia, Castel Gandolfo, and Genzano. communities<br>Source (http://castelli.romatoday.it/albano/avvio-bikesharing-elettrico.html)","operation",12.658653,41.727223,"0","Italy","Europe","Albano, Italy","Bikesharing","Albano","Italy"
"22","Albany, Saratoga, Schenectady and Rensselaer. New York USA","Scheduled to start Summer 2017 in multiple communities as part of the Capital District Transportation Authority using Social Bicycle equipment (https://dailygazette.com/article/2016/12/14/cdta-bike-share-contract-awarded)<br>Cities participated in pilot program in the summer of 2014 (http://www.wopular.com/bike-share-nets-250-users-four-cities)<br>Starting a Feasibility Study 2012<br>Source (http://albanybicyclecoalition.com/2012/09/10/bike-route-signage-strategy-and-bike-sharing-feasibility-study/)","planning",-73.749719,42.650532,"0","United States of America","North America","Albany, Saratoga, Schenectady and Rensselaer. New York USA","Albany, Saratoga, Schenectady and Rensselaer. New York USA","Albany","Schenectady and Rensselaer. New York USA"
"23","Albuquerque, New Mexico USA - Bici","http://zagster.com/abq/<br>75 bikes in 15 stations<br>Launch May 15, 2015<br>as Pilot Program with 65 bikes in 13 stations<br>(2016 Inforgraphic: http://www.mrcog-nm.gov/images/stories/pdf/transportation/bike-pedestrian/Bici_11x17_infographic.pdf)<br>Source: http://www.cabq.gov/mayor/news/albuquerque-to-test-out-first-bike-share-project<br>","operation",-106.5924454,35.1140111,"0","United States of America","North America","Albuquerque, New Mexico USA","Bici","Albuquerque","New Mexico USA"
"24","Alcala de Guadaira, Spain - Tubici","Launched: 2008.<br>Ends 2014<br>4 stations, 75 bikes. <br>Operator: GREEN POWER / ITCL","stopped",-5.847473,37.335224,"0","Spain","Europe","Alcala de Guadaira, Spain","Tubici","Alcala de Guadaira","Spain"
"25","Alcázar de San Juan, Spain - Alcazar Bici","http://www.bicialcazardesanjuan.es/<br>Ends 2014<br>3 stations, 30 bikes.<br>Operator: ITCL<br>Third Generation PIN","stopped",-3.210111,39.389907,"0","Spain","Europe","Alcázar de San Juan, Spain","Alcazar Bici","Alcázar de San Juan","Spain"
"26","Alessandria, Italy - Bicincittà","Service Suspended November 2012 City concidering next steps<br>April 2015: http://acquinews.alessandrianews.it/alessandria/atm-dal-parco-mezzi-inadeguato-bike-sharing-sospeso-106494.htmlhttp://www.bicincitta.com/citta_v3.asp?id=68&pag=1<br>Nine Stations.<br>Third Generation Swipe Card","stopped",8.616199,44.912426,"0","Italy","Europe","Alessandria, Italy","Bicincittà","Alessandria","Italy"
"27","Alicante, Spain - ALABICI",NA,"stopped",-0.48357,38.352628,"0","Spain","Europe","Alicante, Spain","ALABICI","Alicante","Spain"
"28","Algeciras-Cádiz, Spain - Tubici","Ends 2014<br>Launched 2008. <br>3 stations, 50 bikes.<br>","stopped",-5.447159,36.129002,"0",NA,NA,"Algeciras-Cádiz, Spain","Tubici","Algeciras-Cádiz","Spain"
"29","Alghero, Italy - Bicincittà","Issues new tender for program September 2016 (http://www.buongiornoalghero.it/contenuto/0/29/90925/alghero-bando-per-il-bike-sharing)<br>Bicincittà (http://www.bicincitta.com/citta_v3.asp?id=65&pag=2)<br>40 bikes in 5 stations<br>Launch 2013<br>System: Bicincittà<br>Source (http://notizie.alguer.it/n?id=54613)","operation",8.317165,40.558808,"0","Italy","Europe","Alghero, Italy","Bicincittà","Alghero","Italy"
"30","Alhama de Murcia, Spain - Onroll","http://alhamademurcia.onroll.info/<br>System: Onroll<br>Launched: 2009","stopped",-1.426849,37.84829,"0","Spain","Europe","Alhama de Murcia, Spain","Onroll","Alhama de Murcia","Spain"
"31","Aljaraque (Huelva), Spain - Enbici","Ends 2014 Enbici launched 2010. 7 stations, 70 bikes. GREEN POWER / ITCL<br>Source: http://andaluciainformacion.es/costa-occidental/527110/psoe-de-aljaraque-halla-en-estado-lamentable-70-bicis-publicas-retiradas-por-el-anterior-gobierno-del-pp-/","stopped",-7.021294,37.272414,"0","Spain","Europe","Aljaraque (Huelva), Spain","Enbici","Aljaraque (Huelva)","Spain"
"32","Almansa (Albacete), Spain - BiciAlmansa","Launched 2010.<br>Ends 2014<br>3 stations, 50 bikes.<br>Operator: ITCL","stopped",-1.093783,38.870855,"0","Spain","Europe","Almansa (Albacete), Spain","BiciAlmansa","Almansa (Albacete)","Spain"
"33","Almaty, Kazakhstan - Almatybike ","http://almatybike.kz/<br>90 bikes in 37 stations<br>Launch: September 16, 2016<br>to be 270 bikes in 50 Stations<br>adding 2140 bikes in 250 stations in phases<br>14 bikes in 2 stations<br>Pilot<br>Launch: November 6, 2014<br>Operator: Velobike Kazakstan<br>Source:<br>http://bnews.kz/ru/news/post/237793/ & http://tengrinews.kz/kazakhstan_news/velosipedyi-hotyat-sdelat-chastyu-obschestvennogo-transporta-278811/ (https://kapital.kz/gosudarstvo/51472/v-sentyabre-zapustyat-sistemu-veloprokata-almaty-bike.html)","operation",76.9055074,43.2643731,"0","Kazakhstan","Asia","Almaty, Kazakhstan","Almatybike ","Almaty","Kazakhstan"
"34","Almendralejo (Badajoz), Spain - Almendralejo en Bici","http://www.almendralejoenbici.es/Launched 2010.<br>Ends 2014<br>4 stations, 75 bikes. <br>Operator: ITCL","stopped",-6.407433,38.684538,"0","Spain","Europe","Almendralejo (Badajoz), Spain","Almendralejo en Bici","Almendralejo (Badajoz)","Spain"
"35","Almeria (Universidad), Spain - Tubici","Almeria University<br>Ends started 2008","stopped",-2.471924,36.835668,"0","Spain","Europe","Almeria (Universidad), Spain","Tubici","Almeria (Universidad)","Spain"
"36","Alpigano, Italy - BicinComune","Bicincittà (http://www.bicincitta.com/citta_v3.asp?id=28&pag=2)","operation",7.524261,45.095822,"0","Italy","Europe","Alpigano, Italy","BicinComune","Alpigano","Italy"
"37","Altea, Spain - biciAltea","http://bicialtea.labici.net/<br>CityBik.es Map (https://citybik.es/map/bicialtea) 200 bikes in 12 stations<br>Launch: December 12, 2012<br>Operator: Labici<br>System Urbikes","operation",-0.0468206,38.6021822,"0","Spain","Europe","Altea, Spain","biciAltea","Altea","Spain"
"38","Alpharetta, Georgia USA","http://zagster.com/alpharetta/<br>24 bikes in 3 stations<br>Launch: May 9, 2016<br>City council in March 2016 approves funding for 24 bikes in 3 stations<br>Source: http://www.ajc.com/news/news/local/alpharetta-approves-bike-sharing-alcohol-ordinance/nqq3N/","operation",-84.3020439,34.0382223,"0","United States of America","North America","Alpharetta, Georgia USA","Alpharetta, Georgia USA","Alpharetta","Georgia USA"
"39","Amherst, Northampton,  Holyoke, Springfield, Massachusetts USA ","Studying for a Regional Program to serve from Amherst to Springfield for possible 2017 start.","planning",-72.6010895,42.2696876,"0","United States of America","North America","Amherst, Northampton,  Holyoke, Springfield, Massachusetts USA ","Amherst, Northampton,  Holyoke, Springfield, Massachusetts USA ","Amherst","Massachusetts USA "
"40","Amiens, France - Vélam’","http://www.velam.amiens.fr/<br>O'Brien Bike Share Map (http://bikes.oobrien.com/amiens/)<br>CityBik.es map (https://citybik.es/map/velam)<br>313 bikes in 26 stations <br>launched February 2008 <br>Operator: Cyclocity","operation",2.299576,49.896404,"0","France","Europe","Amiens, France","Vélam’","Amiens","France"
"41","Amsterdam, The Netherlands ","<img src=""https://lh6.googleusercontent.com/proxy/PBo8vHfsJhLStO_UZTJSCKoW6UEkoza_bkYSmI5cqIeJK6aTptb6Ax2olKtHQ8fr7Mq-5qr4Pw-boTL9RVvUbtM4gQtuqwKFIfZBNYMM1Y6jp-T9jCNl4R49hR3YlUvbnFP4mbLCrB4tIrpbyNyuc49ErFvzpfWfgYwARRggNYPTxZIUyJhfOpFYFyzlLCnS4g"" height=""200"" width=""auto"" /><br><br>https://urbee.nl/ For the Fall 2016 to pilot a program with 300 pedelecs to expand to 1,150 in spring 2017<br>Source: http://www.duurzaamnieuws.nl/amsterdam-krijgt-elektrische-deelfiets-dankzij-startup-urbee/","planning",4.9002457,52.3739224,"0","Netherlands","Europe","Amsterdam, The Netherlands ","Amsterdam, The Netherlands ","Amsterdam","The Netherlands "
"42","Amsterdam - Schiphol Airport, The Netherlands - Your SchipholBIKE","www.schiphol.nl/yourschipholbike<br>36 bikes in 4 stations<br>Launch: September 24, 2013<br>Equipment: CallLock<br>Source: http://www.dutchdailynews.com/schiphol-introduces-free-bicycle-sharing-scheme/","operation",4.7521877,52.3051724,"0","Netherlands","Europe","Amsterdam","Schiphol Airport, The Netherlands","Amsterdam","Amsterdam"
"43","Amorebieta (Vizcaya), Spain - Amorebiziz","Launched 2009.<br>Ends 2014<br>5 stations, 90 bikes.<br>Operator ITCL/EMAUS","stopped",-2.734705,43.221299,"0","Spain","Europe","Amorebieta (Vizcaya), Spain","Amorebiziz","Amorebieta (Vizcaya)","Spain"
"44","Anaheim, California USA - Bikenation","http://www.bikenationusa.com/rates.aspx <br>All stations removed by end of summer 2013<br>First 2 active stations January 19, 2013<br>Stated that 100 bikes in 10 stations Pilot program Launched: July 21, 2012 <br>System Bike Nation<br>Source (http://www.anaheim.net/administration/PIO/news.asp?id=1420)<br>Source II (http://www.ocregister.com/articles/bike-383621-bicycle-center.html)","stopped",-117.907677,33.831211,"0","United States of America","North America","Anaheim, California USA","Bikenation","Anaheim","California USA"
"45","Andorra la Vella and Les Escaldes, Andorra - Pedaland","www.pedaland.com/<br>16 pedelecs in 4 stations<br>Launch July 25, 2014<br>Operator: FEDA<br>Equipment: Clean Energy Planet<br>Source: http://www.bondia.ad/societat/un-total-de-1895-trajectes-fets-amb-les-bicicletes-de-pedaland","operation",1.5331077,42.5091851,"0","Andorra","Europe","Andorra la Vella and Les Escaldes, Andorra","Pedaland","Andorra la Vella and Les Escaldes","Andorra"
"46","Andria, Italy - Andria in Bici","Program Terminated October 21, 2016<br>(http://andria.news24.city/2016/10/22/sospeso-il-servizio-di-bike-sharing/)<br>Service restored July 5, 2016<br>Service suspended July 1, 2016<br>Bicincittà (http://www.bicincitta.com/citta_v3.asp?id=48&pag=2)<br>CityBik.es Map (https://citybik.es/map/andria)<br>55 bikes in 12 stations (January 2014)<br>Launch: July 3, 2014 (Official re-launch))<br>Equipment: Bicincittà<br>Source (http://www.andrialive.it/news/Attualit%C3%A0/259933/news.aspx)","stopped",16.294785,41.225667,"0","Italy","Europe","Andria, Italy","Andria in Bici","Andria","Italy"
"47","Angers, France - Vélocité+","Vélocité + (http://www.angersloiremetropole.fr/infos-pratiques/mobilites/velo/velocite-plus/index.html)<br>48 bikes<br>Launched March 21, 2011<br>Operator Keolis & EFFIA Transport","operation",-0.556569,47.465084,"0","France","Europe","Angers, France","Vélocité+","Angers","France"
"48","Ann Arbor, Michigan USA - ArborBike","http://arborbike.org (http://arborbike.org/index.html)<br>125 bikes in 13 stations<br>Launch: September 25 2014 <br>Planned 125 bikes in 14 stations by 2015 Source (http://www.mlive.com/news/ann-arbor/index.ssf/2014/08/ann_arbor_bike_share_program_t.html) Name (http://www.mlive.com/news/ann-arbor/index.ssf/2014/02/ann_arbors_new_bike_share_prog.html) Photo (http://wemu.org/post/new-bike-share-program-coming-ann-arbor)<br>Equipment: B-cycle<br>In December 2012 secured federal Congestion Mitigation and Air Quality (CMAQ) funds to develop a system.<br>Source (http://www.lmb.org/index.php?option=com_content&view=article&id=780:ann-arbor-to-launch-bike-sharing-in-2013&catid=144:general-news&Itemid=94)","operation",-83.74496,42.283754,"0","United States of America","North America","Ann Arbor, Michigan USA","ArborBike","Ann Arbor","Michigan USA"
"49","Anji, Zhejiang, China - Anji Public Bicycle","http://bikes.oobrien.com/anji/<br>500 bikes in 60 stations<br>Launched: December 8, 2012<br>Source with video (http://www.hugd.com/xinzixun/2012-12/09/cms259239article.shtml)<br>System: Zuhai Urban Construction Group Co Ltd","operation",119.687419,30.635364,"0","China","Asia","Anji, Zhejiang, China","Anji Public Bicycle","Anji","China"
"50","Ankang Hight Tech Zone, Ankang, Shaanxi, China","220 bikes in 10 station<br>Launch: June 8, 2015<br>Source: (http://shanxi.guhantai.com/2015/0611/791149.shtml)<br>500 bikes in 12 stations planned<br>for 2015<br>Source: http://ankang.hsw.cn/system/2015/0520/11396.shtml","operation",109.012785,32.7036056,"0","China","Asia","Ankang Hight Tech Zone, Ankang, Shaanxi, China","Ankang Hight Tech Zone, Ankang, Shaanxi, China","Ankang Hight Tech Zone","China"
"51","Ankang, Shaanxi, China -Ankang Municipal Bicycle System","600 bikes in 25 stations<br>Launch: June 8, 2016<br>Source: http://news.163.com/16/0529/15/BO8BQI4O00014AEE.html","operation",109.0204239,32.6899541,"0","China","Asia","Ankang, Shaanxi, China -Ankang Municipal Bicycle System","Ankang, Shaanxi, China -Ankang Municipal Bicycle System","Ankang","China -Ankang Municipal Bicycle System"
"52","Anqing, Anhui, China","In November 2015, started planning a<br>700 bicycle in 22 station program<br>Source: http://365jia.cn/news/2015-11-10/8C1D1C0942428AE2.html","planning",117.063446,30.5480698,"0","China","Asia","Anqing, Anhui, China","Anqing, Anhui, China","Anqing","China"
"53","Anqiu, Weifang, Shandong, China","http://www.aqbicycle.com/<br>http://bikes.oobrien.com/weifang<br>2280 bikes in 95 stations <br>Launch: January 3, 2014<br>Source (http://www.wfcmw.cn/html/cmwss/356507.shtml)(http://roll.sohu.com/20131119/n390404221.shtml)","operation",119.220886,36.522329,"0","China","Asia","Anqiu, Weifang, Shandong, China","Anqiu, Weifang, Shandong, China","Anqiu","China"
"54","Ansan, South Korea - Pedal ro","https://www.pedalro.kr/info/aboutUse.do?menuIdx=ab_03&lang=eng<br>1,155 bikes in 46 stations<br>Launched: September 2009","operation",126.813812,37.31666,"0","South Korea","Asia","Ansan, South Korea","Pedal ro","Ansan","South Korea"
"55","Antalya, Turkey - Antbis - Antalya Bisiklet Sistemi","www.antbis.com/default.asp<br>CityBik.es Map (https://citybik.es/map/baksi-antalya)<br>40 bikes in 6 stations<br>Launch August 9, 2014<br>Operator: Baksi Akıllı Bisiklet Sistemleri","operation",30.6882477,36.8873097,"0","Turkey","Europe","Antalya, Turkey","Antbis","Antalya","Turkey"
"56","Antequera, Spain -ENbici","http://antequera.onroll.info/<br>Ends 2014<br>50 bikes in 7 stations<br>Launched April 2010<br>System: Onroll","stopped",-4.563231,37.019927,"0","Spain","Europe","Antequera, Spain -ENbici","Antequera, Spain -ENbici","Antequera","Spain -ENbici"
"57","Antwerp, Belgium - Velo Antwerpen","http://www.velo-antwerpen.be/<br>O'Brien Bike Share Map (http://bikes.oobrien.com/antwerp/)<br>CityBik.es Map (https://citybik.es/map/velo-antwerpen)<br>1,800 bikes in 150 stations (2012)<br>Launch: June 9, 2011 with 1,000 bikes in 85 stations <br>Operator: ClearChannel","operation",4.402771,51.220647,"0","Belgium","Europe","Antwerp, Belgium","Velo Antwerpen","Antwerp","Belgium"
"58","Anxi, Fujian, China - YouBike","https://anxi.youbike.me/cn/index.php<br>1,000 bikes in 33 stations<br>Launch: December 10, 2016<br>Operator & Equipment YouBike<br>Source: http://www.mnw.cn/quanzhou/anxi/xw/1493680.html","operation",118.1878281,25.047814,"0","China","Asia","Anxi, Fujian, China","YouBike","Anxi","China"
"59","Anyang, Henan, China -  anyang Public bicycle Service","3,500 bikes in 160 stations<br>Launch: November 1, 2015<br>(http://news.xinhuanet.com/local/2015-11/02/c_128382551.htm)<br>(December 2015 -Photos: http://www.ha.xinhuanet.com/hnxw/tttp/2015-12/08/c_1117385878.htm)<br>Under construction for November 2015<br>Source: http://roll.sohu.com/20151028/n424368006.shtml","operation",114.3913651,36.1020991,"0","China","Asia","Anyang, Henan, China"," anyang Public bicycle Service","Anyang","China"
"60","Aojiang, Pingyang, Wenzhou, Zhejiang, China -","Underconstruction to launch for Spring Festival 2017 (http://py.66wz.com/system/2017/01/06/012622174.shtml) Palnning Construction before end of 2015 a program of 1500 bikes in 50stations<br>Source: http://py.66wz.com/system/2015/11/13/012187338.shtml","planning",120.5591583,27.5944134,"0","China","Asia","Aojiang, Pingyang, Wenzhou, Zhejiang, China -","Aojiang, Pingyang, Wenzhou, Zhejiang, China -","Aojiang","China -"
"61","Apeldoorn, Ede &amp; Harderwijk, Netherlands - Keobike","<img src=""https://lh4.googleusercontent.com/8JxGDw8SILcZ9qPLUM5u2tO9TjKaGcTp81NxONW1OZqvbXIDr_8HKMCbWNdBeQvKf0fxOnkgeQHhmYGDmecaDlO-_kyzo1tlL49ysuYVG9-SS8C3UcFaZP2m_1LgWdg5"" height=""200"" width=""auto"" /><br><br>https://www.syntusgelderland.nl/reisinformatie/keobike<br>60 bikes in 5 stations<br>(Apeldoorn)<br>Launch: December 11, 2016<br>Operator: Syntus/Keolis<br>Equipment: Mobilock- van Moof<br>Source: http://www.fietsberaad.nl/index.cfm?section=nieuws&lang=nl&mode=detail&newsYear=2016&repository=Syntus+ontwikkelt+eigen+fietsdeelsysteem","operation",5.9686661,52.2115513,"0","Netherlands","Europe","Apeldoorn, Ede &amp; Harderwijk, Netherlands","Keobike","Apeldoorn","Netherlands"
"62","Aquascalientes, Aquascalintes, Mexico","2015 Considering","planning",-102.2916412,21.8793411,"0","Mexico","South America","Aquascalientes, Aquascalintes, Mexico","Aquascalientes, Aquascalintes, Mexico","Aquascalientes","Mexico"
"63","Aracuja, Sergipe, Brazil - Caju Bike","<img src=""https://lh3.googleusercontent.com/proxy/r0ti83IjF6FPu-fplEbUqEp9PY3HfMgNQR_bId5R8itF3_lRLtS84gWIYsj4G1aRtF4IWctjZ3D8ltmxLjTR-MDXTyq-3ARbjzel8561hWDmI5r6ubQ1tlIuQTAp4T4CWRlLJ5M"" height=""200"" width=""auto"" /><br><br>www.cajubike.com<br>CityBik.es Map (https://citybik.es/map/cajubike)<br>50 bikes in 5 stations<br>Launch: March 30, 2014 Source (http://www.infonet.com.br/cidade/ler.asp?id=156460)<br>Will have 20 to 25 stations with 10 to 15 bikes each. Completed tender process Serttel was the only respondant.<br><br>Source (http://www.infonet.com.br/noticias/ler.asp?id=154649) II","operation",-37.069244,-10.90647,"0","Brazil","South America","Aracuja, Sergipe, Brazil","Caju Bike","Aracuja","Brazil"
"64","Aranda de Duero, Spain - Aranbici","http://arandadeduero.onroll.info/<br>Citybik.es Map (https://citybik.es/map/onroll-aranda-de-duero)<br>30 bikes in 6 stations<br>Launched 2011<br>System: Onroll","operation",-3.692865,41.663615,"0","Spain","Europe","Aranda de Duero, Spain","Aranbici","Aranda de Duero","Spain"
"65","Aranjuez, Spain - Aranbike","http://www.aranbike.es/index.php/date-de-alta.html<br>CityBik.es Map (https://citybik.es/map/onroll-aranjuez)<br>25 bikes in 8 stations<br>Launched 2009<br>System: Onroll","operation",-3.606691,40.031098,"0","Spain","Europe","Aranjuez, Spain","Aranbike","Aranjuez","Spain"
"66","Arezzo, Italy - ARbike","(http://www.bicincitta.com/citta_v3.asp?id=61&pag=2)<br>CityBik.es Map (https://citybik.es/map/arbike)<br>Photo (http://www.facebook.com/photo.php?fbid=10150210339421823&set=a.8086461822.24231.8085941822&theater)<br>60 bikes in 6 stations<br>Launched March 21, 2011<br>Operator: Bicincittà","operation",11.882143,43.465566,"0","Italy","Europe","Arezzo, Italy","ARbike","Arezzo","Italy"
"67","Archea Olimpia, Greece - Cyclopolis Archea Olympia ","Planning 50 bikes in 4 stations for April 2013Source (http://www.silvercity.gr/index.php/podilatonea/188-genika/3417-14)","planning",21.625471,37.645262,"0","Greece","Europe","Archea Olimpia, Greece","Cyclopolis Archea Olympia ","Archea Olimpia","Greece"
"68","Armenia, Quindío, Columbia","In February 2016, makes an agreement with the City Of Pisa Italy to facilitate the creation of a system.<br>It is to start in the first third of 2017<br>Source: http://caracol.com.co/emisora/2016/02/28/armenia/1456679350_939874.html<br>Designated a city for a pilot public bicycle program for 2016 by the Transportation Ministry Source: http://www.cronicadelquindio.com/noticia-noticia_opinion-seccion-opinion-titulo-que_ruede_la_bici-op-14691","planning",-75.6752872,4.5351426,"0","Colombia","South America","Armenia, Quindío, Columbia","Armenia, Quindío, Columbia","Armenia","Columbia"
"69","Armilla, Spain - Tubici","Tubici launched 2008 Ends 2014 . 4 stations, 75 bikes. GREEN POWER / ITCL","stopped",-3.617935,37.140067,"0","Spain","Europe","Armilla, Spain","Tubici","Armilla","Spain"
"70","Asan, South Korea - UBike","http://bike.u-asan.or.kr/ubike_main.do<br>90 bikes in 11 stations<br>Launch: May 2011","operation",127.003112,36.781053,"0","South Korea","Asia","Asan, South Korea","UBike","Asan","South Korea"
"71","Ascoli Piceno, Italy - Bicincittà","Bicincittà (http://bicincitta.tobike.it/frmLeStazioni.aspx?ID=53)<br>CityBik.es Map (https://citybik.es/map/ascoli-piceno)<br>20 bikes in 5 Stations<br>Launched: Summer 2012 as pilot<br>re-launch: July 10, 2013<br>System: Bicincittà","operation",13.578844,42.855267,"0","Italy","Europe","Ascoli Piceno, Italy","Bicincittà","Ascoli Piceno","Italy"
